book_page,year,site,nestID,unique_nestID,plot,plotLmt,species,egg_no,length,width,comments
1.02,2003,barr,dunl701,03dunl701,brw1,out,dunl,1,35.7,25.6,NA
1.02,2003,barr,dunl701,03dunl701,brw1,out,dunl,2,37.4,25,NA
1.02,2003,barr,dunl701,03dunl701,brw1,out,dunl,3,35.5,25.3,NA
1.02,2003,barr,dunl701,03dunl701,brw1,out,dunl,4,35.1,25.3,NA
1.03,2003,barr,dunl306,03dunl306,brw1,in,dunl,1,35.9,25.4,NA
1.03,2003,barr,dunl306,03dunl306,brw1,in,dunl,2,36.9,25.8,NA
1.03,2003,barr,dunl306,03dunl306,brw1,in,dunl,3,36.3,25.5,NA
1.03,2003,barr,dunl306,03dunl306,brw1,in,dunl,4,35.1,25.3,NA
1.04,2003,barr,reph307,03reph307,brw1,in,reph,1,30.2,21.5,NA
1.04,2003,barr,reph307,03reph307,brw1,in,reph,2,31.3,21.4,NA
1.04,2003,barr,reph307,03reph307,brw1,in,reph,3,30,21.9,NA
1.04,2003,barr,reph307,03reph307,brw1,in,reph,4,30.8,21.4,NA
1.06,2003,barr,pesa510,03pesa510,brw1,in,pesa,1,37.4,27,NA
1.06,2003,barr,pesa510,03pesa510,brw1,in,pesa,2,39.1,26.6,NA
1.06,2003,barr,pesa510,03pesa510,brw1,in,pesa,3,38.3,26.5,NA
1.06,2003,barr,pesa510,03pesa510,brw1,in,pesa,4,37.4,26.6,NA
1.07,2003,barr,reph310,03reph310,brw1,in,reph,1,31,22.8,NA
1.07,2003,barr,reph310,03reph310,brw1,in,reph,2,33.4,23.2,NA
1.07,2003,barr,reph310,03reph310,brw1,in,reph,3,33.5,23,NA
1.07,2003,barr,reph310,03reph310,brw1,in,reph,4,31.9,22.9,NA
1.08,2003,barr,reph311,03reph311,brw1,in,reph,1,32.7,22,NA
1.08,2003,barr,reph311,03reph311,brw1,in,reph,2,30.8,21.6,NA
1.08,2003,barr,reph311,03reph311,brw1,in,reph,3,31.4,22.1,NA
1.09,2003,barr,lbdo005,03lbdo005,brw1,in,lbdo,1,43.3,31.8,NA
1.09,2003,barr,lbdo005,03lbdo005,brw1,in,lbdo,2,44.7,31.6,NA
1.09,2003,barr,lbdo005,03lbdo005,brw1,in,lbdo,3,43.8,32,NA
1.09,2003,barr,lbdo005,03lbdo005,brw1,in,lbdo,4,43.5,31.2,NA
1.1,2003,barr,reph317,03reph317,brw1,in,reph,1,32,21,NA
1.1,2003,barr,reph317,03reph317,brw1,in,reph,2,31.6,21.1,NA
1.1,2003,barr,reph317,03reph317,brw1,in,reph,3,32.1,21.4,NA
1.1,2003,barr,reph317,03reph317,brw1,in,reph,4,31.9,21.1,NA
1.11,2003,barr,pesa318,03pesa318,brw1,in,pesa,1,35.7,25.9,NA
1.11,2003,barr,pesa318,03pesa318,brw1,in,pesa,2,36,25.8,NA
1.11,2003,barr,pesa318,03pesa318,brw1,in,pesa,3,34.7,25.3,NA
1.11,2003,barr,pesa318,03pesa318,brw1,in,pesa,4,35.6,25.6,NA
1.12,2003,barr,dunl319,03dunl319,brw1,in,dunl,1,36.1,25.6,NA
1.12,2003,barr,dunl319,03dunl319,brw1,in,dunl,2,36.3,25.3,NA
1.12,2003,barr,dunl319,03dunl319,brw1,in,dunl,3,35.7,25.3,NA
1.13,2003,barr,reph320,03reph320,brw1,in,reph,1,31,22,NA
1.13,2003,barr,reph320,03reph320,brw1,in,reph,2,31.7,22.1,NA
1.13,2003,barr,reph320,03reph320,brw1,in,reph,4,31,22.1,NA
1.14,2003,barr,reph006,03reph006,brw1,in,reph,1,32.5,23.4,NA
1.14,2003,barr,reph006,03reph006,brw1,in,reph,2,31.4,22.4,NA
1.14,2003,barr,reph006,03reph006,brw1,in,reph,3,31,22.8,NA
1.14,2003,barr,reph006,03reph006,brw1,in,reph,4,31.1,22.6,NA
1.15,2003,barr,dunl323,03dunl323,brw1,in,dunl,1,35.4,26.7,NA
1.15,2003,barr,dunl323,03dunl323,brw1,in,dunl,2,35.9,26,NA
1.15,2003,barr,dunl323,03dunl323,brw1,in,dunl,3,35.7,26.5,NA
1.15,2003,barr,dunl323,03dunl323,brw1,in,dunl,4,35.2,25.6,NA
1.16,2003,barr,reph324,03reph324,brw1,in,reph,1,33.2,22.5,NA
1.16,2003,barr,reph324,03reph324,brw1,in,reph,2,33.6,22,NA
1.16,2003,barr,reph324,03reph324,brw1,in,reph,3,32.4,22.7,NA
1.16,2003,barr,reph324,03reph324,brw1,in,reph,4,33,22.8,NA
1.17,2003,barr,reph325,03reph325,brw1,in,reph,1,30.2,22.3,NA
1.17,2003,barr,reph325,03reph325,brw1,in,reph,2,31.5,22.6,NA
1.17,2003,barr,reph325,03reph325,brw1,in,reph,3,31.8,22.6,NA
1.17,2003,barr,reph325,03reph325,brw1,in,reph,4,31.8,22.2,NA
1.18,2003,barr,reph326,03reph326,brw1,in,reph,1,30.9,21.5,NA
1.18,2003,barr,reph326,03reph326,brw1,in,reph,2,30.7,22,NA
1.18,2003,barr,reph326,03reph326,brw1,in,reph,3,31.3,20.9,NA
1.18,2003,barr,reph326,03reph326,brw1,in,reph,4,30.5,21.1,NA
1.19,2003,barr,reph211,03reph211,brw1,in,reph,1,32,22.3,NA
1.19,2003,barr,reph211,03reph211,brw1,in,reph,2,31.4,22.6,NA
1.19,2003,barr,reph211,03reph211,brw1,in,reph,3,30.6,22.7,NA
1.19,2003,barr,reph211,03reph211,brw1,in,reph,4,30.6,22.6,NA
1.2,2003,barr,lbdo016,03lbdo016,brw1,in,lbdo,1,45.4,30.5,NA
1.2,2003,barr,lbdo016,03lbdo016,brw1,in,lbdo,2,45.6,30.9,NA
1.2,2003,barr,lbdo016,03lbdo016,brw1,in,lbdo,3,44.1,30.7,NA
2.01,2003,barr,sesa501,03sesa501,brw2,in,sesa,1,28.4,21.9,NA
2.01,2003,barr,sesa501,03sesa501,brw2,in,sesa,2,29,21.9,NA
2.01,2003,barr,sesa501,03sesa501,brw2,in,sesa,3,29.1,22,NA
2.01,2003,barr,sesa501,03sesa501,brw2,in,sesa,4,30.5,21.6,NA
2.02,2003,barr,sesa502,03sesa502,brw2,in,sesa,1,30.5,21.2,NA
2.02,2003,barr,sesa502,03sesa502,brw2,in,sesa,2,29.3,21.6,NA
2.02,2003,barr,sesa502,03sesa502,brw2,in,sesa,3,29.7,21.4,NA
2.04,2003,barr,dunl504,03dunl504,brw2,in,dunl,1,35.2,26.3,NA
2.04,2003,barr,dunl504,03dunl504,brw2,in,dunl,2,37.7,26,NA
2.04,2003,barr,dunl504,03dunl504,brw2,in,dunl,3,36.5,26.1,NA
2.04,2003,barr,dunl504,03dunl504,brw2,in,dunl,4,36.4,26,NA
2.05,2003,barr,amgp505,03amgp505,brw2,in,amgp,1,50.4,33.8,NA
