book_page,year,site,nestID,uniqueID,plot,species,finder,nwstake,old_lat,lat_corrected,old_long,long_corrected,notes_GPS_change,use_GPS,how_fnd,plotLmt,fence,unk1_band,unk1_original_band,unk1_captured,unk1_UL,unk1_LL,unk1_UR,unk1_LR,unk1_gfe,unk2_band,unk2_original_band,unk2_captured,unk2_UL,unk2_LL,unk2_UR,unk2_LR,unk2_gfe,m_band,m_original_band,m_captured,m_UL,m_LL,m_UR,m_LR,m_gfe,f_band,f_original_band,f_captured,f_UL,f_LL,f_UR,f_LR,f_gfe,number_banded_birds,max_egg_number,number_egg_find,float_age,float_date,date_found,date_found_julian,age_found,last_day_alive,last_day_checked,last_day_alive_julian,last_day_check_julian,initiation_date,initiation_date_corrected,initiation_date_corrected_julian,incubation_date,incubation_date_corrected,est_hatch_date,hatch_date,Number_days_btwn_last_check_and_date_found_hatched,day_used_for_hatch_date_or_last_date_checked,age_method,age_method_corrected,stage_find,fate,fail_cause,fate_evidence,uncertain_of_fate,number_days_from_est_hatch,number_eggs_hatched,number_chick_band,number_eggs_observer,number_eggs_lost,number_eggs_predated,number_eggs_abandoned,number_eggs_failed_to_hatch,number_eggs_unknown,number_eggs_with_embryo,number_eggs_stable_isotope,number_eggs_bacteria,replacement_clutch,manipulation,manipulation_comments,tiny_tag_number,dom_land,dom_veg,conceal,aspect,old_nest_number,nest_reuse_corrected,use_nest_reuse_id,tag_number,nest_book_comments,problem
1.01,2003,barr,dunl300,03dunl300,brw1,dunl,trask,i8,NA,71.29813,NA,-156.6295,NA,y,single,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168181029,168181029,y,-,"r,gf",m,"dg,dg",NA,168181033,168181033,y,-,"r,gf",m,"y,r",NA,2,4,4,0,10-Jun-03,10-Jun-03,161,3,1-Jul-03,1-Jul-03,182,182,7-Jun-03,7-Jun-03,158,10-Jun-03,10-Jun-03,1-Jul-03,1-Jul-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,1,1,2,0,0,0,1,0,0,0,0,0,NA,NA,NA,lcp<0.5,m2,NA,NA,NA,NA,NA,NA,"1 hatch, 1 not hatched or coll, 2 human destroyed",NA
1.03,2003,barr,dunl306,03dunl306,brw1,dunl,trask,c6,NA,71.2985,NA,-156.63872,NA,y,single,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168181041,168181041,y,-,"r,gf",m,"o,r",NA,168181032,168181032,y,-,"r,gf",m,"db,r",NA,2,4,4,5,16-Jun-03,16-Jun-03,167,8,2-Jul-03,NA,183,NA,8-Jun-03,8-Jun-03,159,11-Jun-03,11-Jun-03,2-Jul-03,NA,NA,censor,float,float,inc,censor,unknown,"1 egg pipped, 2 cracked, and 1 crushed day prior",y,0,0,NA,1,0,0,0,0,3,0,0,0,0,NA,NA,NA,lcp<0.5,m2,NA,NA,NA,NA,NA,NA,"1p,2S,1crushed on 2jul, all gone on 3jul","Likely failed, as cracked and crushed egg gone too, but within 4 days of estimated hatch date and no other evidence"
1.04,2003,barr,reph307,03reph307,brw1,reph,trask,i9,NA,71.29868,NA,-156.62923,NA,y,single,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168181044,168181044,y,-,"r,gf",m,"o,dg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,6,16-Jun-03,16-Jun-03,167,8,1-Jul-03,1-Jul-03,182,182,7-Jun-03,8-Jun-03,159,10-Jun-03,11-Jun-03,30-Jun-03,1-Jul-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,4,0,0,0,NA,NA,NA,strangmoor,m4,NA,NA,NA,NA,NA,NA,NA,NA
1.05,2003,barr,dunl305,03dunl305,brw1,dunl,trask,j5,NA,71.29637,NA,-156.63116,NA,y,single,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168180612,168180612,y,-,"r,gf",m,"dg,r",NA,168181034,168181034,y,-,"r,gf",m,"r,o",NA,2,4,4,2,16-Jun-03,16-Jun-03,167,5,5-Jul-03,5-Jul-03,186,186,11-Jun-03,11-Jun-03,162,14-Jun-03,14-Jun-03,5-Jul-03,5-Jul-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,3,0,0,1,0,0,0,NA,0,0,0,NA,NA,NA,strangmoor,u3,NA,NA,NA,NA,NA,NA,1egg predated then collected,NA
1.06,2003,barr,pesa510,03pesa510,brw1,pesa,rlanctot,k1,NA,71.29478,NA,-156.63137,NA,y,bander,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168181045,168181045,y,"r,gf",-,"m,db,bk",-,NA,1,4,4,4,19-Jun-03,19-Jun-03,170,7,24-Jun-03,28-Jun-03,175,179,12-Jun-03,12-Jun-03,163,15-Jun-03,15-Jun-03,7-Jul-03,NA,NA,NA,float,float,inc,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,NA,0,0,0,NA,NA,NA,strangmoor,m1,NA,NA,NA,NA,NA,NA,"empty nest, no shells or signs",NA
1.07,2003,barr,reph310,03reph310,brw1,reph,trask,b4,NA,71.29805,NA,-156.6408,NA,y,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168181042,168181042,y,-,"r,gf",m,"y,y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,6,19-Jun-03,19-Jun-03,170,8,4-Jul-03,4-Jul-03,185,185,10-Jun-03,11-Jun-03,162,13-Jun-03,14-Jun-03,3-Jul-03,4-Jul-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,4,0,0,0,NA,NA,NA,strangmoor,m4,NA,NA,NA,NA,NA,NA,NA,NA
1.08,2003,barr,reph311,03reph311,brw1,reph,trask,f5,NA,71.2976,NA,-156.63541,NA,y,single,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168181043,168181043,y,-,"r,gf",m,"o,y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,6,19-Jun-03,19-Jun-03,170,8,3-Jul-03,3-Jul-03,184,184,11-Jun-03,11-Jun-03,162,13-Jun-03,13-Jun-03,3-Jul-03,3-Jul-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,3,0,0,0,0,0,0,3,0,0,0,NA,NA,NA,strangmoor,m2,NA,NA,NA,NA,NA,NA,NA,NA
1.09,2003,barr,lbdo005,03lbdo005,brw1,lbdo,thomas,g5,NA,71.29758,NA,-156.63466,NA,y,single,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121239954,121239954,y,"r,gf",-,"m,o,r",-,NA,121239951,121239951,y,"r,gf",-,"m,lg,lg",-,NA,2,4,3,NA,NA,23-Jun-03,174,2,14-Jul-03,15-Jul-03,195,196,21-Jun-03,21-Jun-03,172,24-Jun-03,24-Jun-03,15-Jul-03,NA,NA,day reoriented egg,lay,lay,lay,failed,abandonment,reoriented eggs,n,NA,0,0,0,0,0,4,0,0,NA,0,0,0,NA,NA,NA,strangmoor,m4,NA,NA,NA,NA,NA,NA,abandoned after banding second adult,NA
1.1,2003,barr,reph317,03reph317,brw1,reph,trask,a9,NA,71.30025,NA,-156.63908,NA,y,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168180646,168180646,y,-,"r,gf",m,"db,lg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,NA,NA,25-Jun-03,176,2,13-Jul-03,13-Jul-03,194,194,23-Jun-03,23-Jun-03,174,26-Jun-03,26-Jun-03,16-Jul-03,13-Jul-03,4,day prior,lay,lay,lay,hatch,NA,"1 egg left in nest, egg bits",n,NA,3,3,0,0,0,0,1,0,NA,0,0,0,NA,NA,NA,lcp<0.5,m2,NA,NA,NA,NA,NA,NA,18 day inc period,"HD unknown, used day prior as chicks gone from nest, but 4 days since last check"
1.11,2003,barr,pesa318,03pesa318,brw1,pesa,trask,d1,NA,71.29634,NA,-156.64025,NA,y,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168181060,168181060,y,-,"r,gf",m,"db,r",NA,1,4,4,7,25-Jun-03,25-Jun-03,176,11,9-Jul-03,9-Jul-03,190,190,15-Jun-03,14-Jun-03,165,18-Jun-03,17-Jun-03,10-Jul-03,9-Jul-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,4,0,0,0,NA,NA,NA,lcp<0.5,u4,NA,NA,NA,NA,NA,NA,NA,NA
