year,site,observer,date,start_time,end_time,plot,stake,species,distance,count,comments
2003,barr,NA,2003-06-08,NA,NA,brw1,NA,glgu,NA,39,NA
2003,barr,NA,2003-06-08,NA,NA,brw1,NA,poja,NA,1,NA
2003,barr,NA,2003-06-15,NA,NA,brw1,NA,glgu,NA,2,NA
2003,barr,NA,2003-06-15,NA,NA,brw1,NA,poja,NA,1,NA
2003,barr,NA,2003-06-23,NA,NA,brw1,NA,none,NA,0,NA
2003,barr,NA,2003-06-08,NA,NA,brw2,NA,glgu,NA,1,NA
2003,barr,NA,2003-06-08,NA,NA,brw2,NA,poja,NA,2,NA
2003,barr,NA,2003-06-15,NA,NA,brw2,NA,glgu,NA,5,NA
2003,barr,NA,2003-06-23,NA,NA,brw2,NA,paja,NA,1,NA
2003,barr,NA,2003-06-08,NA,NA,brw3,NA,glgu,NA,4,NA
2003,barr,NA,2003-06-08,NA,NA,brw3,NA,poja,NA,2,NA
2003,barr,NA,2003-06-15,NA,NA,brw3,NA,glgu,NA,1,NA
2003,barr,NA,2003-06-23,NA,NA,brw3,NA,paja,NA,1,NA
2003,barr,NA,2003-06-08,NA,NA,brw4,NA,glgu,NA,2,NA
2003,barr,NA,2003-06-15,NA,NA,brw4,NA,none,NA,0,NA
2003,barr,NA,2003-06-23,NA,NA,brw4,NA,none,NA,0,NA
2004,barr,NA,2004-06-10,NA,NA,brw1,NA,glgu,NA,1,NA
2004,barr,NA,2004-06-17,NA,NA,brw1,NA,glgu,NA,10,NA
2004,barr,NA,2004-07-02,NA,NA,brw1,NA,glgu,NA,1,NA
2004,barr,NA,2004-07-02,NA,NA,brw1,NA,paja,NA,1,NA
2004,barr,NA,2004-07-09,NA,NA,brw1,NA,glgu,NA,4,NA
2004,barr,NA,2004-07-09,NA,NA,brw1,NA,ltja,NA,1,NA
2004,barr,NA,2004-06-10,NA,NA,brw2,NA,glgu,NA,5,NA
2004,barr,NA,2004-06-10,NA,NA,brw2,NA,paja,NA,1,NA
2004,barr,NA,2004-06-17,NA,NA,brw2,NA,glgu,NA,9,NA
2004,barr,NA,2004-06-24,NA,NA,brw2,NA,glgu,NA,1,NA
2004,barr,NA,2004-07-02,NA,NA,brw2,NA,none,NA,0,NA
2004,barr,NA,2004-07-09,NA,NA,brw2,NA,glgu,NA,6,NA
2004,barr,NA,2004-06-10,NA,NA,brw3,NA,glgu,NA,2,NA
2004,barr,NA,2004-06-17,NA,NA,brw3,NA,glgu,NA,2,NA
2004,barr,NA,2004-06-24,NA,NA,brw3,NA,none,NA,0,NA
2004,barr,NA,2004-07-02,NA,NA,brw3,NA,none,NA,0,NA
2004,barr,NA,2004-07-09,NA,NA,brw3,NA,glgu,NA,1,NA
2004,barr,NA,2004-06-10,NA,NA,brw5,NA,paja,NA,2,NA
2004,barr,NA,2004-06-17,NA,NA,brw5,NA,glgu,NA,8,NA
2004,barr,NA,2004-06-17,NA,NA,brw5,NA,paja,NA,2,NA
2004,barr,NA,2004-06-17,NA,NA,brw5,NA,seow,NA,1,NA
2004,barr,NA,2004-06-24,NA,NA,brw5,NA,ltja,NA,5,NA
2004,barr,NA,2004-06-24,NA,NA,brw5,NA,paja,NA,2,NA
2004,barr,NA,2004-06-24,NA,NA,brw5,NA,poja,NA,1,NA
2004,barr,NA,2004-07-02,NA,NA,brw5,NA,none,NA,0,NA
2004,barr,NA,2004-07-09,NA,NA,brw5,NA,ltja,NA,1,NA
2004,barr,NA,2004-06-10,NA,NA,brw6,NA,glgu,NA,5,NA
2004,barr,NA,2004-06-17,NA,NA,brw6,NA,glgu,NA,5,NA
2004,barr,NA,2004-06-24,NA,NA,brw6,NA,none,NA,0,NA
2004,barr,NA,2004-07-03,NA,NA,brw6,NA,none,NA,0,NA
2004,barr,NA,2004-07-09,NA,NA,brw6,NA,none,NA,0,NA
2004,barr,NA,2004-06-10,NA,NA,brw7,NA,glgu,NA,4,NA
2004,barr,NA,2004-06-10,NA,NA,brw7,NA,poja,NA,1,NA
2004,barr,NA,2004-06-17,NA,NA,brw7,NA,glgu,NA,4,NA
2004,barr,NA,2004-06-17,NA,NA,brw7,NA,ltja,NA,2,NA
2004,barr,NA,2004-06-24,NA,NA,brw7,NA,glgu,NA,1,NA
2004,barr,NA,2004-07-03,NA,NA,brw7,NA,ltja,NA,1,NA
2004,barr,NA,2004-07-09,NA,NA,brw7,NA,ltja,NA,3,NA
2005,barr,NA,2005-06-10,NA,NA,brw1,NA,glgu,NA,2,NA
2005,barr,NA,2005-06-17,NA,NA,brw1,NA,none,NA,0,NA
2005,barr,NA,2005-06-26,NA,NA,brw1,NA,glgu,NA,1,NA
